signal_feature_alpha,signal_feature_beta,signal_feature_gamma,categorical_tier_rank,signal_feature_delta,system_efficiency_ratio,target_outcome_class
46.967,13.731,2.081,2,100.54,0.513,1
46.735,27.767,3.58,5,62.586,0.836,0
66.482,10.986,3.972,4,74.305,0.845,0
62.381,31.696,3.978,5,109.886,0.902,0
62.203,4.019,2.713,2,113.229,0.346,1
69.582,21.478,0.24,1,126.281,0.952,0
50.315,21.803,2.907,4,126.294,0.782,1
60.229,11.636,3.553,4,137.005,0.784,1
45.346,21.395,2.311,2,86.925,0.865,0
54.862,28.236,4.319,5,164.817,0.439,1
48.048,0.265,3.346,2,167.563,0.862,1
51.455,22.022,3.025,4,94.384,0.99,0
58.927,0.0,3.595,2,86.182,0.528,1
37.727,10.275,2.767,4,56.456,0.711,0
81.386,31.033,0.1,5,115.127,0.725,0
34.91,13.346,1.851,1,123.573,0.77,1
31.787,8.609,3.717,1,92.62,0.78,1
67.372,16.416,1.512,2,118.483,0.626,1
61.875,34.543,2.154,4,68.366,0.726,0
59.362,3.347,1.251,1,139.03,0.964,0
59.425,9.59,4.362,4,94.071,0.777,1
49.816,29.979,4.25,5,118.663,0.772,0
36.541,32.862,1.428,2,116.305,0.62,0
51.137,17.173,2.562,4,51.187,0.907,0
39.843,8.088,1.651,2,135.021,0.69,1
64.627,34.767,3.076,4,86.467,0.433,1
47.794,30.756,2.961,4,116.075,0.779,0
37.618,23.432,3.293,5,67.704,0.819,0
45.179,11.501,2.765,2,95.619,0.678,1
56.194,17.608,5.0,3,120.897,0.407,1
41.544,16.717,1.269,4,77.621,0.564,0
37.667,20.647,0.518,4,79.264,0.704,0
53.655,29.608,1.968,1,113.752,0.665,1
53.674,25.035,0.675,2,104.975,0.782,0
42.396,9.381,0.758,3,120.479,0.803,0
42.934,29.012,1.299,5,98.966,0.659,0
53.481,20.505,1.386,3,129.245,0.524,1
28.279,23.497,1.35,5,92.991,0.923,0
28.888,29.732,2.97,3,127.912,0.798,0
39.223,9.107,1.843,3,82.797,0.814,0
46.798,17.713,2.203,2,91.67,0.774,0
54.664,13.748,3.384,1,131.92,0.874,0
72.13,5.457,1.557,3,94.569,0.667,0
62.865,20.774,2.109,4,74.863,0.836,0
47.601,38.092,2.802,4,161.903,0.814,1
49.715,3.279,0.264,4,108.946,0.809,0
34.962,17.742,0.1,1,124.144,0.553,1
49.722,23.124,2.781,3,42.138,0.739,0
45.67,18.985,2.941,5,149.954,0.774,1
54.841,17.095,4.671,5,189.387,0.969,1
37.592,7.606,2.574,2,147.265,0.734,1
57.79,19.862,3.302,1,151.541,0.871,1
72.991,11.946,2.185,3,97.737,0.512,1
48.369,0.481,2.727,4,117.555,0.62,1
56.026,27.557,4.234,1,124.642,0.781,1
60.352,25.667,0.1,1,89.072,0.78,0
43.982,18.413,2.855,3,106.278,0.62,1
53.361,19.833,4.749,2,79.97,0.854,1
50.189,26.595,2.71,2,98.135,0.697,0
51.465,19.795,4.216,2,135.227,0.693,1
38.405,25.232,1.708,4,57.027,0.709,0
50.368,15.62,2.365,4,138.593,0.907,0
57.47,28.496,2.437,3,62.679,0.872,0
71.767,20.566,0.1,2,111.574,0.984,0
64.389,19.552,1.115,3,114.303,0.797,0
82.298,7.84,1.193,2,127.184,0.99,1
38.49,20.296,3.304,1,104.584,0.753,1
63.085,11.344,3.359,5,78.659,0.702,0
52.75,12.894,2.756,5,115.535,0.659,1
82.847,11.477,3.307,2,175.175,0.695,1
37.876,9.47,2.219,3,109.568,0.702,1
37.404,34.998,3.722,4,83.559,0.624,1
41.009,28.651,2.41,2,95.986,0.637,1
18.142,33.363,2.464,2,114.507,0.805,0
42.114,8.217,2.108,4,101.941,0.652,0
38.613,18.57,3.153,2,97.773,0.482,1
52.256,7.652,1.937,1,149.823,0.475,1
55.126,12.434,3.474,4,125.518,0.426,1
78.143,10.655,1.155,1,106.444,0.522,1
64.256,27.917,1.191,5,106.674,0.552,0
41.346,14.83,3.156,4,115.195,0.584,1
36.524,26.547,2.303,4,126.809,0.76,0
57.379,22.833,1.901,3,148.469,0.542,1
30.197,36.429,3.379,3,97.643,0.591,1
77.472,6.164,1.732,4,80.167,0.464,1
67.692,28.074,2.18,5,93.317,0.628,0
42.962,27.172,3.939,2,83.732,0.821,0
24.303,10.213,4.093,3,64.22,0.717,0
70.308,26.057,4.13,5,152.318,0.731,1
48.282,20.689,2.09,5,135.638,0.72,1
68.567,16.18,3.754,3,41.494,0.54,1
26.084,11.409,1.356,2,116.538,0.663,1
41.009,12.247,1.402,3,98.698,0.751,1
50.079,34.398,0.1,5,95.123,0.856,0
50.705,18.005,4.24,1,35.404,0.771,0
43.249,24.257,1.45,3,109.243,0.843,0
59.343,11.673,2.261,5,112.308,0.568,1
33.986,11.761,1.399,3,74.693,0.51,0
47.864,26.656,3.165,5,158.682,0.475,1
51.804,7.203,1.987,2,133.74,0.834,1
57.717,14.678,0.965,5,78.01,0.518,0
60.674,18.272,2.886,4,140.692,0.869,0
33.13,18.891,0.823,1,96.033,0.658,0
26.988,16.567,1.479,5,141.653,0.954,0
69.165,21.167,0.1,3,66.713,0.657,0
54.985,23.543,0.834,3,115.102,0.665,0
38.773,23.877,2.596,5,73.512,0.729,0
73.267,10.114,0.239,4,84.879,0.662,0
51.735,15.727,0.771,5,52.05,0.779,0
67.689,27.558,2.397,2,72.966,0.574,1
51.013,25.157,1.802,4,72.791,0.746,0
80.911,7.017,4.591,5,69.039,0.615,0
76.33,20.812,4.417,1,115.658,0.691,1
46.266,2.174,1.445,4,57.014,0.527,0
64.574,18.375,3.013,5,118.964,0.842,0
59.681,33.182,3.224,1,140.177,0.67,1
70.529,10.417,1.743,5,83.328,0.848,0
35.526,11.325,0.755,2,107.452,0.617,1
60.291,24.112,2.386,3,99.931,0.719,1
65.876,5.658,2.21,5,97.655,0.85,0
23.619,12.938,1.921,4,33.335,0.555,0
32.251,22.772,2.887,5,76.196,0.596,0
19.412,12.926,1.574,5,153.843,0.833,0
45.959,16.112,1.133,5,119.715,0.909,0
60.763,23.953,2.52,5,102.759,0.722,0
72.535,21.372,2.825,4,49.378,0.584,0
51.111,20.135,1.106,4,127.795,0.675,1
74.429,15.287,3.421,5,82.65,0.99,0
29.298,20.96,0.452,3,72.876,0.533,0
24.449,17.01,1.764,5,75.883,0.794,0
49.167,21.662,2.116,4,125.319,0.738,0
55.761,14.025,1.7,2,107.871,0.558,1
49.51,16.539,1.778,5,135.938,0.676,1
18.988,10.08,4.458,5,143.772,0.467,1
48.663,17.72,1.464,5,87.816,0.76,0
30.433,11.512,5.0,5,108.719,0.781,0
60.045,9.088,2.881,1,100.91,0.529,1
55.499,20.069,2.501,5,69.146,0.798,0
35.902,19.702,2.924,4,73.462,0.627,0
42.292,24.263,5.0,4,105.075,0.614,1
34.112,14.551,1.307,1,108.288,0.583,1
49.06,21.264,1.168,5,108.354,0.813,0
64.327,22.406,1.57,3,108.401,0.486,0
35.214,21.558,2.435,5,85.52,0.497,1
57.561,11.395,0.502,4,173.643,0.637,1
42.046,19.195,2.425,2,116.954,0.642,1
38.107,20.913,4.263,2,92.734,0.808,1
48.395,18.057,2.567,3,122.069,0.707,1
34.471,1.308,2.078,5,84.463,0.707,0
41.695,19.284,1.72,1,110.802,0.493,1
32.032,35.7,3.388,5,122.021,0.688,0
79.471,15.12,1.492,3,126.528,0.383,1
50.529,12.175,4.431,3,72.281,0.753,0
39.504,20.987,4.527,3,200.873,0.815,1
53.21,20.499,2.682,2,145.454,0.611,1
48.315,27.542,2.387,5,170.975,0.773,0
46.685,7.937,3.534,5,102.317,0.659,1
59.213,23.851,3.604,1,117.404,0.892,1
61.363,22.723,1.513,3,111.094,0.752,0
42.042,16.863,1.821,3,93.588,0.575,1
41.363,20.709,0.945,4,132.728,0.884,0
45.874,26.236,2.85,4,83.49,0.836,0
15.471,24.979,3.133,2,130.948,0.662,1
27.272,8.856,0.915,5,95.057,0.789,0
70.503,24.561,1.899,1,121.971,0.787,1
74.675,17.482,0.918,1,153.849,0.66,1
46.264,18.583,1.411,3,106.01,0.729,0
58.648,18.586,3.006,1,133.407,0.754,1
54.669,16.798,1.593,3,94.733,0.625,1
96.183,27.534,2.069,5,74.56,0.909,0
66.794,17.33,0.61,1,159.852,0.443,1
48.081,9.044,2.606,3,132.431,0.815,1
35.667,14.852,2.351,5,105.967,0.549,0
25.903,19.43,1.598,5,130.892,0.686,0
53.052,27.834,2.192,3,79.508,0.496,0
38.655,22.825,2.598,3,123.267,0.535,1
28.666,11.196,1.504,2,116.51,0.708,1
40.301,37.882,0.776,5,129.516,0.73,0
33.777,20.118,4.386,3,159.252,0.868,1
75.307,28.203,1.703,5,153.447,0.664,1
63.225,16.786,2.294,1,68.335,0.806,0
49.88,22.267,3.512,4,50.143,0.719,0
72.199,24.716,5.0,4,117.371,0.801,1
51.161,27.746,1.031,3,115.08,0.567,0
37.081,26.459,2.895,3,75.915,0.732,0
72.847,24.978,1.622,5,81.177,0.772,0
58.084,15.479,1.807,3,86.889,0.65,0
34.441,13.426,1.608,5,150.051,0.773,0
47.145,20.661,1.162,3,95.825,0.787,0
36.866,25.465,2.355,5,64.884,0.648,0
29.258,16.218,0.778,3,108.067,0.829,0
63.893,26.521,3.441,2,109.918,0.398,1
78.641,29.621,2.461,5,79.037,0.452,0
29.021,10.669,2.865,2,127.712,0.575,1
58.445,11.305,1.887,2,144.117,0.759,1
40.24,16.877,1.996,2,99.339,0.614,1
42.693,20.461,2.716,2,64.883,0.533,1
41.114,13.803,1.12,1,101.788,0.708,0
37.04,28.818,2.006,4,119.05,0.734,0
50.728,21.393,1.454,1,45.263,0.631,0
37.536,18.316,1.42,3,124.446,0.554,1
54.057,6.513,0.1,3,98.75,0.721,0
49.246,7.473,3.873,4,111.312,0.831,1
46.416,20.248,1.645,4,101.311,0.55,1
36.387,0.939,3.68,4,87.397,0.941,0
41.348,26.101,3.576,2,106.67,0.641,1
61.331,16.735,0.985,1,94.732,0.631,1
57.514,43.945,1.203,3,99.273,0.739,0
35.337,36.463,5.0,1,83.587,0.734,1
51.49,16.548,4.326,1,126.103,0.407,1
61.271,17.149,2.365,1,147.104,0.705,1
24.959,25.965,2.683,4,83.802,0.801,0
58.15,31.625,1.706,4,106.496,0.864,0
40.061,4.896,2.876,3,77.144,0.704,0
58.559,3.709,1.611,3,121.641,0.67,1
38.551,13.024,0.164,3,116.727,0.821,0
22.927,22.662,0.946,1,92.631,0.971,0
25.587,21.975,2.423,4,107.518,0.733,0
50.721,26.558,1.156,2,135.958,0.694,1
53.896,8.402,2.326,1,61.779,0.896,0
36.435,0.0,1.218,5,71.245,0.562,0
59.579,24.864,1.539,1,127.455,0.729,1
25.077,11.374,3.338,4,111.634,0.99,0
49.009,1.852,2.672,5,107.895,0.783,0
31.835,19.161,2.389,1,138.29,0.827,1
40.222,24.345,3.367,4,131.133,0.674,1
50.711,17.024,2.929,4,161.453,0.802,1
37.094,14.337,3.991,2,136.848,0.89,1
44.232,16.725,1.894,1,125.772,0.508,1
65.094,15.035,1.927,4,108.381,0.707,1
41.347,7.216,0.969,3,105.675,0.769,0
62.535,12.283,1.928,4,109.903,0.712,0
33.054,22.17,3.461,2,116.689,0.652,1
57.947,20.573,3.83,4,73.798,0.915,0
71.624,19.344,3.456,1,117.908,0.749,1
12.925,10.039,0.426,1,102.7,0.622,1
38.047,16.548,3.591,5,120.712,0.858,1
58.656,0.583,0.378,1,92.67,0.915,0
46.954,19.428,3.388,5,90.217,0.88,0
55.567,29.431,1.995,3,116.921,0.662,1
40.94,6.207,3.173,2,124.318,0.668,1
51.299,13.313,0.934,3,91.882,0.574,0
47.665,20.633,3.688,5,149.576,0.756,0
67.517,28.023,0.789,4,149.37,0.874,0
53.816,14.414,1.665,4,62.53,0.799,0
55.064,12.462,1.302,3,86.689,0.965,0
43.822,2.249,0.47,4,113.486,0.448,1
42.686,18.828,2.504,5,121.123,0.74,0
43.512,34.337,4.387,2,173.97,0.836,1
55.917,20.219,5.0,1,114.227,0.635,1
43.685,17.822,2.507,5,106.508,0.562,0
54.347,20.577,3.628,5,75.859,0.551,1
81.131,17.911,2.655,1,62.438,0.735,0
63.067,11.496,2.949,1,105.99,0.548,1
45.11,24.586,2.024,2,171.722,0.926,1
68.018,19.806,2.615,2,103.647,0.792,1
43.879,18.141,2.991,2,86.818,0.692,0
19.428,10.197,1.764,4,123.562,0.709,0
34.879,28.428,2.315,5,49.833,0.871,0
21.938,23.318,2.336,1,112.379,0.908,0
44.727,13.577,3.309,5,134.731,0.589,1
50.276,26.015,1.227,5,81.573,0.617,0
75.147,14.019,2.343,2,151.066,0.67,1
54.904,11.744,4.503,2,129.79,0.633,1
46.713,11.922,3.68,5,151.338,0.467,1
62.441,3.831,3.884,2,68.711,0.606,1
16.833,21.772,2.427,4,104.579,0.621,0
53.534,3.351,2.753,1,137.664,0.552,1
